,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Aphelios",1101,1295,86%,612,489,56%,4.2,3.8,33:19,9.3,557,431,2.6,220,62
1,"
 Sett",962,1386,84%,510,452,53%,2.6,4.2,33:16,6.4,378,350,1.4,161,23
2,"
 Ornn",983,1083,74%,491,492,50%,3.2,4.8,33:27,6.8,361,333,-8.8,-388,-117
3,"
 Senna",588,1232,65%,298,290,51%,5.0,4.1,33:22,4.0,443,324,-4.5,160,225
4,"
 Syndra",587,1089,60%,319,268,54%,3.6,4.7,33:41,8.5,525,390,8.5,173,87
5,"
 LeBlanc",460,1169,58%,251,209,55%,4.8,5.9,33:34,7.7,531,381,2,65,156
6,"
 Jarvan IV",877,750,58%,429,448,49%,3.5,5.3,33:16,4.7,178,303,-4,-165,-273
7,"
 Miss Fortune",1228,336,56%,621,607,51%,4.3,5.8,33:13,9.7,508,434,3,30,78
8,"
 Nautilus",1022,465,53%,503,519,49%,2.4,7.6,33:12,1.4,152,235,-0.1,-62,-104
9,"
 Thresh",805,681,53%,434,371,54%,3.6,6.4,33:28,1.1,126,234,1,63,-39
10,"
 Aatrox",919,421,48%,462,457,50%,2.7,7.4,33:16,7.7,393,375,3.8,91,180
11,"
 Varus",762,549,47%,386,376,51%,3.7,5.1,33:12,9.0,569,416,6.2,164,49
12,"
 Elise",435,846,46%,211,224,49%,2.9,4.4,33:04,5.1,314,318,-4.8,-58,-131
13,"
 Zoe",531,720,45%,262,269,49%,4.3,5.6,33:34,7.8,569,369,0.2,47,-3
14,"
 Lee Sin",791,432,44%,367,424,46%,2.9,6.1,33:15,5.0,227,316,-2.3,-56,-112
15,"
 Olaf",411,756,42%,205,206,50%,2.9,5.5,33:05,5.6,311,335,9,276,364
16,"
 Kalista",443,685,40%,223,220,50%,3.7,4.2,32:22,9.4,430,431,7.3,280,99
17,"
 Gragas",570,547,40%,295,275,52%,3.2,5.5,34:05,5.0,324,306,-2.8,-111,-65
18,"
 Renekton",539,548,39%,280,259,52%,2.6,5.8,33:02,7.9,357,383,8.3,328,199
19,"
 Braum",767,290,38%,379,388,49%,3.6,8.2,33:23,1.0,139,225,1.4,-49,-3
20,"
 Azir",509,431,34%,234,275,46%,3.3,6.4,33:15,9.2,527,410,4.8,61,124
21,"
 Pantheon",272,660,33%,135,137,50%,2.6,4.3,33:02,6.1,331,342,-6.9,-33,-217
22,"
 Rumble",351,553,32%,159,192,45%,3.3,4.9,33:27,6.8,519,348,-5.8,-157,-120
23,"
 Tahm Kench",553,332,32%,289,264,52%,3.4,6.6,33:31,2.5,141,252,-3.7,-122,-97
24,"
 Trundle",558,313,31%,288,270,52%,4.1,5.7,33:09,4.7,184,307,-4.9,-107,-240
25,"
 Mordekaiser",405,459,31%,200,205,49%,2.1,6.6,33:16,7.5,460,373,-4.6,-249,-33
26,"
 Yuumi",275,573,30%,139,136,51%,6.3,4.8,32:59,0.4,286,226,-11.4,-340,77
27,"
 Lucian",256,586,30%,105,151,41%,3.0,4.8,33:23,8.9,505,413,9.8,319,111
28,"
 RekSai",464,368,30%,246,218,53%,2.9,6.3,33:25,5.3,250,327,3.6,223,220
29,"
 Akali",195,606,29%,106,89,54%,3.3,3.8,32:46,7.8,450,385,-1,-16,-9
30,"
 Sejuani",487,287,28%,231,256,47%,3.6,6.4,33:12,5.0,221,306,-2.6,-143,-120
31,"
 Cassiopeia",339,428,27%,182,157,54%,3.2,6.0,32:54,8.6,458,401,3.2,-57,-116
32,"
 Gangplank",372,348,26%,186,186,50%,3.6,6.5,34:30,8.3,580,421,-2.8,169,-137
33,"
 Ezreal",491,143,23%,232,259,47%,3.7,6.5,33:24,9.1,652,414,-3,-302,-116
34,"
 Leona",382,234,22%,179,203,47%,2.3,8.0,32:59,1.1,118,230,1.1,35,-60
35,"
 Irelia",185,397,21%,86,99,46%,2.1,5.9,33:10,8.6,374,399,12.1,222,-60
36,"
 Rakan",371,162,19%,196,175,53%,3.9,6.6,33:34,1.1,143,234,1,-28,-89
37,"
 Taric",338,188,19%,170,168,50%,3.6,6.7,32:03,1.3,96,233,-0.7,-162,-1
38,"
 Sylas",291,191,17%,131,160,45%,2.7,7.2,32:49,7.0,431,362,-8.1,-197,-149
39,"
 Qiyana",176,290,17%,101,75,57%,3.4,5.6,33:07,6.8,414,367,-9.1,-63,-182
40,"
 Soraka",97,332,15%,50,47,52%,4.4,4.0,33:12,4.7,238,281,-20.4,-744,-449
41,"
 Xayah",273,153,15%,125,148,46%,3.6,5.4,34:01,9.5,480,427,-1.6,-65,10
42,"
 Karthus",121,242,13%,61,60,50%,3.2,4.8,33:33,7.0,607,377,25,703,1216
43,"
 Ekko",200,152,13%,108,92,54%,3.8,7.0,32:57,7.5,414,385,2.3,124,383
44,"
 Yasuo",103,233,12%,51,52,50%,2.7,5.9,32:12,8.4,371,402,4.5,244,132
45,"
 Orianna",209,115,12%,92,117,44%,3.9,8.6,33:42,8.5,493,387,2.1,-93,-7
46,"
 Corki",225,97,12%,108,117,48%,4.2,7.9,33:44,9.3,644,431,1.8,152,54
47,"
 Ziggs",159,141,11%,71,88,45%,3.9,4.5,34:02,8.8,733,401,2.5,206,137
48,"
 Vladimir",145,147,10%,76,69,52%,3.3,7.5,32:56,8.4,566,394,-0.2,-248,22
49,"
 Kassadin",105,186,10%,49,56,47%,4.3,7.9,30:41,8.8,488,418,-6,-286,-19
50,"
 Ryze",166,125,10%,80,86,48%,2.8,7.3,32:04,9.4,501,423,6.8,51,106
51,"
 Camille",143,146,10%,67,76,47%,2.6,8.2,32:22,8.1,409,405,-3.1,72,-77
52,"
 Jayce",155,111,10%,75,80,48%,2.8,5.8,32:08,8.4,616,401,8.5,469,4
