,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Sett",924,984,64%,457,467,49%,2.6,4.2,32:12,4.8,279,306,-4.6,-145,-236
1,"
 Thresh",863,957,61%,440,423,51%,3.4,5.6,32:47,1.1,118,231,0.6,39,-46
2,"
 Ezreal",1165,636,60%,587,578,50%,4.1,4.8,32:37,9.0,636,417,-1.6,-240,-30
3,"
 Syndra",617,1168,60%,316,301,51%,3.4,4.5,33:11,8.6,552,396,8.1,168,87
4,"
 Volibear",886,860,58%,451,435,51%,3.2,4.4,32:55,5.8,285,332,-3.7,-104,-137
5,"
 Graves",885,792,56%,430,455,49%,3.7,4.8,32:46,6.7,366,364,9.2,213,377
6,"
 Ornn",879,775,55%,437,442,50%,3.1,6.5,32:42,6.9,356,337,-7.3,-407,-79
7,"
 Kalista",494,1156,55%,271,223,55%,4.1,3.7,31:38,9.3,427,437,12.2,547,252
8,"
 Ashe",1103,435,52%,540,563,49%,3.7,4.9,32:29,9.0,480,410,0.4,-46,-1
9,"
 Karma",578,922,50%,262,316,45%,3.9,4.4,32:15,3.6,261,276,-3.1,-78,-96
10,"
 Twisted Fate",445,1006,49%,260,185,58%,4.5,4.3,32:06,8.4,434,425,-5.3,437,1
11,"
 Aphelios",897,548,48%,491,406,55%,3.8,4.7,32:49,9.6,536,436,0.2,162,-12
12,"
 Nidalee",516,889,47%,303,213,59%,3.9,4.4,32:01,6.6,390,367,11.5,371,586
13,"
 Renekton",738,663,47%,397,341,54%,2.6,6.5,32:45,7.9,369,387,11.1,504,296
14,"
 Nautilus",972,426,47%,466,506,48%,2.3,7.9,32:15,1.1,143,228,-0.4,-54,-100
15,"
 Zoe",547,826,46%,291,256,53%,4.6,5.1,32:31,7.9,570,379,0.3,54,-2
16,"
 Orianna",806,564,46%,419,387,52%,4.4,6.4,33:01,8.9,495,404,5.1,-64,72
17,"
 Trundle",749,567,44%,361,388,48%,4.0,4.9,32:29,4.8,170,305,-8.6,-270,-489
18,"
 Azir",656,596,42%,304,352,46%,2.8,6.4,32:38,9.1,513,408,4.3,39,91
19,"
 Lee Sin",752,458,41%,377,375,50%,3.4,5.9,32:43,5.2,241,327,-6.3,-35,-198
20,"
 Varus",200,961,39%,105,95,53%,3.5,3.0,32:20,8.9,593,414,9.4,385,176
21,"
 Wukong",555,591,38%,292,263,53%,2.7,6.6,31:50,7.4,362,380,-6.4,-123,-122
22,"
 Bard",573,513,36%,323,250,56%,4.6,6.5,32:44,1.3,182,241,2.1,-33,241
23,"
 LeBlanc",266,748,34%,136,130,51%,4.4,6.1,34:11,7.8,530,384,-1.5,-21,86
24,"
 Senna",551,449,33%,268,283,49%,4.8,4.3,32:30,5.8,423,348,-6.8,-76,-2
25,"
 Camille",428,531,32%,244,184,57%,2.7,6.5,31:56,8.0,435,404,-0.5,70,-72
26,"
 Caitlyn",330,615,32%,177,153,54%,4.0,4.2,33:03,9.4,564,441,6.5,397,45
27,"
 Galio",423,498,31%,217,206,51%,3.7,5.5,31:50,7.1,366,355,-12.8,-406,-219
28,"
 Gangplank",386,466,29%,194,192,50%,3.3,6.9,33:14,8.2,586,423,1.6,257,-69
29,"
 Leona",547,232,26%,269,278,49%,2.3,8.5,32:33,1.1,121,228,0.6,1,-99
30,"
 Olaf",338,422,25%,165,173,49%,2.7,6.0,32:45,5.7,282,330,6.2,83,182
31,"
 Lucian",260,485,25%,131,129,50%,3.0,4.8,32:01,9.0,535,426,10,465,74
32,"
 Jayce",314,306,21%,146,168,46%,2.5,7.6,32:22,8.5,609,403,7.9,297,-72
33,"
 Yuumi",246,372,21%,111,135,45%,5.9,5.3,32:14,0.6,242,223,-5.8,-242,86
34,"
 Mordekaiser",312,283,20%,149,163,48%,1.9,8.2,32:22,7.5,449,373,-3.4,-207,32
35,"
 Braum",412,181,20%,185,227,45%,3.2,8.4,32:42,1.0,136,224,0.8,-88,-28
36,"
 Akali",230,335,19%,122,108,53%,3.3,5.2,32:11,8.0,466,394,-1.5,-37,47
37,"
 Tahm Kench",325,239,19%,156,169,48%,2.5,8.1,32:40,1.1,131,226,0.9,-68,39
38,"
 Sylas",323,223,18%,158,165,49%,3.0,7.8,32:10,7.6,461,380,-4.8,-147,-16
39,"
 Lillia",238,246,16%,111,127,47%,3.6,4.8,32:30,6.4,480,356,5.8,112,198
40,"
 Pantheon",210,251,15%,107,103,51%,2.3,5.6,32:14,2.8,273,278,-1,215,-87
41,"
 Jhin",374,69,15%,189,185,51%,5.9,7.1,32:37,8.9,495,418,-1.5,-30,-10
42,"
 Shen",201,236,15%,106,95,53%,3.7,5.5,32:29,6.3,316,337,-6.7,-387,-16
43,"
 Kennen",220,159,13%,104,116,47%,2.2,7.8,33:21,7.7,477,372,4.4,93,55
44,"
 Corki",224,154,13%,105,119,47%,3.8,7.2,33:11,9.6,615,435,2.6,159,37
45,"
 Aatrox",252,125,13%,109,143,43%,2.2,8.1,32:15,7.6,361,362,3.3,-50,120
46,"
 Ekko",208,156,12%,97,111,47%,3.2,6.5,31:45,8.0,420,390,-4.7,19,160
47,"
 Malphite",151,189,11%,77,74,51%,3.0,8.4,31:57,6.9,407,348,-9.7,-419,-54
48,"
 Hecarim",143,193,11%,72,71,50%,3.1,4.3,31:28,6.4,350,366,-0.2,66,86
49,"
 RekSai",166,167,11%,77,89,46%,2.7,6.2,31:17,5.4,258,336,0.9,12,46
50,"
 Kindred",183,127,10%,94,89,51%,3.3,6.5,32:04,6.3,353,356,-0.8,74,2
51,"
 Lulu",200,108,10%,89,111,45%,4.4,6.8,32:27,1.9,124,245,-0.7,-90,-4
52,"
 Karthus",94,211,10%,47,47,50%,3.0,4.4,32:53,7.5,664,390,14.8,324,741
53,"
 Morgana",137,166,10%,83,54,61%,4.0,7.8,33:16,1.6,221,251,-3.5,31,-18
54,"
 Jarvan IV",156,131,10%,65,91,42%,2.9,7.3,31:51,4.9,188,303,-7,-345,-354
55,"
 Lux",165,112,9%,86,79,52%,4.0,5.6,32:36,1.9,238,254,2,8,39
56,"
 Cassiopeia",118,153,9%,63,55,53%,3.4,5.9,32:28,8.9,481,414,6,-17,3
57,"
 KhaZix",133,135,9%,69,64,52%,3.1,5.5,32:06,5.7,342,338,-1.4,-131,-33
58,"
 Rakan",195,70,9%,107,88,55%,4.9,8.2,32:18,1.2,135,234,0.7,-4,-64
59,"
 Kaisa",199,53,8%,81,118,41%,3.3,7.8,31:44,9.2,480,429,1.2,-140,1
60,"
 Kassadin",99,152,8%,51,48,52%,4.4,7.7,29:49,8.8,522,424,-5.4,-445,-80
61,"
 Blitzcrank",125,116,8%,62,63,50%,2.8,6.7,32:51,1.0,165,234,-2.4,91,-52
62,"
 Irelia",82,141,7%,36,46,44%,2.0,6.7,32:01,9.0,385,421,15,408,160
63,"
 Miss Fortune",156,50,7%,65,91,42%,3.4,6.6,31:40,9.4,494,424,2.6,82,7
64,"
 Gragas",137,67,7%,68,69,50%,3.3,6.0,32:30,4.7,341,311,-4.9,-169,-149
65,"
 Sion",133,56,6%,65,68,49%,2.7,8.2,33:19,7.2,357,346,-2.7,-167,-94
66,"
 Jax",92,91,6%,45,47,49%,2.2,8.1,31:50,8.0,410,401,2.6,180,112
67,"
 Taric",110,67,6%,48,62,44%,3.1,7.4,31:16,1.2,95,230,-1.5,-157,51
68,"
 Elise",75,95,6%,29,46,39%,2.6,6.2,32:48,5.1,337,323,-9.4,-126,-361
69,"
 Maokai",128,39,6%,68,60,53%,2.8,8.5,32:47,5.8,404,310,-16.9,-618,-326
70,"
 Ziggs",79,71,5%,39,40,49%,3.4,5.4,32:45,8.8,701,402,-2.8,-5,-21
71,"
 Nocturne",81,61,5%,39,42,48%,2.3,6.1,31:43,6.0,306,347,2.6,176,151
72,"
 Sona",43,95,5%,25,18,58%,4.2,3.7,32:20,2.8,260,285,-68.2,-1443,-964
73,"
 Kayle",78,59,5%,45,33,58%,3.4,8.6,31:40,9.0,535,427,11.3,520,312
74,"
 Sejuani",95,38,4%,46,49,48%,3.4,7.6,32:03,5.1,242,311,-6.5,-310,-320
75,"
 Fiddlesticks",42,90,4%,21,21,50%,2.6,5.6,31:19,5.9,390,328,-0.7,-90,110
76,"
 Vladimir",77,49,4%,39,38,51%,2.6,7.7,31:46,8.5,534,394,3.5,-89,75
77,"
 Skarner",79,44,4%,41,38,52%,3.6,4.7,31:29,5.1,172,313,-4,-228,-244
78,"
 Shyvana",58,63,4%,29,29,50%,2.9,4.9,30:58,7.2,583,387,12.4,318,575
79,"
 Gnar",89,32,4%,42,47,47%,2.4,7.8,33:08,7.9,497,381,8.9,253,179
80,"
 Alistar",88,32,4%,45,43,51%,3.2,8.9,32:05,1.0,139,232,-0.6,-30,-67
81,"
 Heimerdinger",21,89,4%,8,13,38%,2.5,2.6,30:55,7.9,578,374,-11.1,-468,-111
82,"
 Ryze",77,33,4%,34,43,44%,2.7,8.0,30:14,9.6,522,423,4.6,-118,-7
83,"
 Urgot",71,39,4%,34,37,48%,2.6,7.2,31:42,7.7,376,398,-3.3,52,-123
84,"
 Rumble",59,47,4%,23,36,39%,2.7,6.1,32:40,6.9,574,360,-9.3,-302,-304
85,"
 Evelynn",32,60,3%,15,17,47%,2.6,4.0,31:03,5.7,437,352,1.8,212,457
86,"
 KogMaw",63,26,3%,20,43,32%,3.0,6.3,31:51,8.8,681,401,-1.5,-125,-91
87,"
 Soraka",49,40,3%,28,21,57%,4.8,5.4,32:06,3.4,181,267,-6.6,-297,-27
88,"
 Viktor",55,30,3%,26,29,47%,3.0,7.9,33:27,8.8,594,398,1.2,-179,28
