,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Lee Sin",43,48,87%,23,20,53%,3.2,4.0,30:39,5.2,277,345,-1.2,-20,39
1,"
 Xin Zhao",50,32,78%,26,24,52%,3.0,5.3,31:47,5.4,308,334,-3.8,111,-141
2,"
 Jinx",47,29,72%,25,22,53%,4.5,4.3,30:47,9.4,577,451,3,110,93
3,"
 Thresh",44,30,70%,21,23,48%,3.2,4.5,31:36,1.1,106,235,3.8,92,79
4,"
 Renekton",43,29,69%,23,20,53%,2.8,5.0,30:05,8.1,371,401,-0.1,-53,140
5,"
 Twisted Fate",17,55,69%,8,9,47%,3.4,3.6,30:38,7.8,451,415,-6.5,-238,-306
6,"
 LeBlanc",24,47,68%,12,12,50%,5.0,5.6,32:03,7.3,529,377,-7.3,-352,-13
7,"
 Leona",47,20,64%,24,23,51%,2.2,7.8,29:54,1.3,127,241,1,-187,-170
8,"
 Aphelios",46,21,64%,25,21,54%,3.0,5.0,30:33,9.3,495,443,5.7,72,215
9,"
 Caitlyn",14,51,62%,8,6,57%,4.5,3.2,31:25,9.2,624,476,-5,74,-254
10,"
 Syndra",26,32,55%,13,13,50%,3.5,6.2,30:17,8.3,565,398,12,640,230
11,"
 Jhin",42,14,53%,20,22,48%,4.8,7.1,32:36,8.6,504,412,-4.2,-133,35
12,"
 Jayce",26,26,50%,15,11,58%,3.1,5.7,29:40,8.3,657,427,13.8,764,167
13,"
 Rakan",33,18,49%,21,12,64%,3.5,7.8,31:51,1.3,144,246,7.3,128,416
14,"
 Vex",15,35,48%,8,7,53%,4.7,5.2,31:09,7.8,555,403,-3.9,242,19
15,"
 Jarvan IV",30,19,47%,13,17,43%,3.2,5.4,29:18,5.0,297,334,-5.1,-245,-273
16,"
 Ryze",24,22,44%,7,17,29%,2.2,5.6,31:49,8.7,392,388,1.3,97,-180
17,"
 Viktor",19,26,43%,9,10,47%,4.3,5.0,31:21,8.7,680,413,16.7,517,645
18,"
 Camille",21,23,42%,10,11,48%,2.9,6.3,33:37,7.3,382,375,-13.2,-638,-409
19,"
 Zoe",14,27,39%,8,6,57%,5.4,5.5,30:29,7.5,544,383,-0.5,762,376
20,"
 Nidalee",18,22,38%,11,7,61%,3.4,3.1,30:21,6.5,515,399,7.1,-63,292
21,"
 Kennen",21,17,36%,11,10,52%,2.2,7.3,31:45,7.4,528,377,-0.5,-305,-413
22,"
 Talon",17,19,34%,9,8,53%,3.7,3.1,31:29,6.6,476,408,5.4,116,62
23,"
 Nautilus",16,19,33%,7,9,44%,2.4,8.6,30:58,1.2,136,238,0,461,490
24,"
 Viego",22,11,31%,10,12,45%,3.5,4.7,33:09,5.4,299,347,7.8,366,402
25,"
 Galio",15,16,30%,8,7,53%,3.6,6.9,32:56,5.4,281,320,-5,216,-184
26,"
 Corki",11,18,28%,7,4,64%,4.9,4.2,28:01,9.3,738,464,-,-,-
27,"
 Graves",18,11,28%,6,12,33%,2.3,5.5,29:11,8.3,430,395,9.5,657,817
28,"
 Gwen",15,13,27%,8,7,53%,2.4,8.9,30:02,8.1,501,400,-0.5,-494,-56
29,"
 Jax",8,18,25%,4,4,50%,2.0,5.7,36:35,7.4,301,364,-1,1193,1081
30,"
 Lucian",8,16,23%,3,5,38%,2.6,5.5,29:54,8.4,464,411,6,-70,-304
31,"
 Ziggs",12,11,22%,4,8,33%,2.0,6.6,30:12,8.7,567,398,-20,-513,-250
32,"
 Akali",15,7,21%,10,5,67%,4.0,8.6,31:04,8.0,508,410,-1.2,147,449
33,"
 Lulu",12,7,18%,7,5,58%,7.8,5.9,28:11,0.8,114,259,-20.5,-421,-426
34,"
 Ezreal",12,5,16%,5,7,42%,2.1,7.2,29:19,9.0,626,413,0.1,-407,-277
35,"
 Irelia",5,12,16%,1,4,20%,0.7,5.3,27:32,7.9,354,356,5.8,-918,-406
36,"
 Braum",8,9,16%,5,3,63%,3.4,8.2,29:10,1.2,194,242,3.2,-119,74
37,"
 Sylas",7,10,16%,5,2,71%,4.4,6.7,30:46,7.9,448,403,3,89,192
38,"
 Akshan",3,12,14%,3,0,100%,3.4,5.4,30:54,10.4,458,482,-,-,-
39,"
 Yasuo",4,9,12%,2,2,50%,2.0,4.3,28:35,8.5,316,389,1.8,-72,-241
40,"
 Aatrox",10,2,11%,7,3,70%,3.6,8.5,31:17,7.3,436,385,-3.2,122,337
41,"
 Lissandra",7,5,11%,2,5,29%,2.2,7.8,34:07,6.9,407,333,10.5,320,252
42,"
 Samira",4,8,11%,3,1,75%,7.9,5.3,30:15,8.6,588,491,41,1461,1053
43,"
 Wukong",4,7,10%,0,4,0%,1.1,9.7,30:50,6.5,312,321,-21,-572,-786
44,"
 Karma",4,6,10%,1,3,25%,3.4,7.7,33:47,0.6,222,240,-20,561,128
45,"
 Lux",8,2,10%,5,3,63%,3.8,8.0,31:32,1.0,342,280,-,-,-
46,"
 Miss Fortune",5,4,9%,3,2,60%,4.7,8.5,29:19,8.6,625,478,-2.4,702,156
47,"
 Orianna",6,3,9%,3,3,50%,3.7,9.0,31:23,9.1,522,418,-8.5,-394,-249
48,"
 Urgot",5,4,9%,3,2,60%,2.8,8.0,30:29,7.7,409,385,-8.6,-415,-604
49,"
 Ornn",6,3,9%,2,4,33%,2.7,9.7,30:06,7.8,359,347,-34,-2429,-2301
50,"
 Fiora",1,7,8%,0,1,0%,5.0,3.6,39:33,7.4,351,416,-,-,-
51,"
 Malphite",5,3,8%,3,2,60%,3.3,9.0,27:47,6.5,446,350,-26.7,-1371,-277
52,"
 Nami",8,0,8%,3,5,38%,3.5,-,29:54,0.4,177,251,-21,-240,-117
53,"
 Trundle",7,1,8%,4,3,57%,3.0,7.0,31:34,4.0,229,300,-6,306,-85
54,"
 Sett",5,3,8%,2,3,40%,2.1,3.0,28:01,7.0,442,394,0,1069,1385
55,"
 Gragas",6,1,7%,2,4,33%,3.3,10.0,28:26,5.8,453,343,3.8,-648,397
56,"
 Xayah",2,5,7%,2,0,100%,9.0,7.8,25:10,10.3,578,453,-,-,-
57,"
 Kaisa",4,3,7%,1,3,25%,2.4,9.0,29:08,9.2,310,417,3,588,-144
58,"
 Rell",4,3,7%,1,3,25%,3.0,6.7,31:32,1.0,173,246,3,1131,1333
59,"
 Gangplank",6,0,6%,4,2,67%,4.4,-,29:30,8.8,746,492,9.2,807,513
60,"
 Maokai",4,2,6%,3,1,75%,3.6,8.0,27:53,1.4,289,259,1.8,216,-192
61,"
 Poppy",5,1,6%,2,3,40%,2.1,9.0,28:58,4.8,326,317,-4,-470,-236
62,"
 Twitch",4,2,6%,2,2,50%,4.4,5.0,31:43,8.4,669,453,-2,280,507
63,"
 Gnar",4,2,6%,1,3,25%,1.7,8.0,33:51,7.6,551,350,-,-,-
64,"
 Alistar",5,0,5%,2,3,40%,2.3,-,32:16,1.1,128,226,-3,-235,-615
65,"
 Olaf",3,2,5%,1,2,33%,2.7,3.0,29:01,5.4,257,304,-,-,-
66,"
 Vayne",3,2,5%,2,1,67%,4.6,7.5,30:10,8.8,624,485,-41,-1461,-1053
67,"
 Blitzcrank",4,0,4%,1,3,25%,1.2,-,36:55,1.1,138,206,3,-48,-293
68,"
 Diana",2,2,4%,2,0,100%,8.7,3.5,30:49,7.4,464,423,13,504,293
69,"
 Draven",2,2,4%,1,1,50%,2.5,7.0,35:06,9.1,644,518,-,-,-
70,"
 Pantheon",0,4,4%,,,,,1.3,,,,,,,
71,"
 RekSai",3,1,4%,1,2,33%,2.1,10.0,31:50,6.2,293,352,-,-,-
72,"
 Yuumi",1,3,4%,1,0,100%,4.7,8.7,31:19,0.3,388,254,-,-,-
73,"
 Hecarim",1,2,3%,0,1,0%,0.4,2.0,18:32,4.8,270,275,-,-,-
74,"
 Malzahar",3,0,3%,1,2,33%,2.1,-,29:56,7.2,313,364,-,-,-
75,"
 Mordekaiser",2,1,3%,1,1,50%,1.5,8.0,36:19,7.4,391,367,-16,-237,-1186
76,"
 Rumble",1,2,3%,1,0,100%,-,9.5,27:11,8.0,847,428,-,-,-
77,"
 Azir",3,0,3%,1,2,33%,2.2,-,29:03,8.1,714,374,-2.3,-811,-151
78,"
 Kindred",1,2,3%,0,1,0%,2.3,10.0,24:14,6.8,494,409,-,-,-
79,"
 Taliyah",0,3,3%,,,,,2.0,,,,,,,
80,"
 Yone",2,1,3%,0,2,0%,0.4,10.0,25:10,7.8,386,323,-8.5,-1408,-564
81,"
 Seraphine",2,1,3%,1,1,50%,11.0,5.0,31:09,6.1,168,312,-,-,-
82,"
 Annie",1,1,2%,1,0,100%,6.0,8.0,34:31,8.0,557,392,-,-,-
83,"
 Darius",1,1,2%,0,1,0%,1.2,5.0,33:10,7.9,502,426,-,-,-
84,"
 Morgana",2,0,2%,1,1,50%,3.4,-,38:09,0.7,382,266,-15,819,218
85,"
 Tryndamere",2,0,2%,1,1,50%,2.5,-,32:40,8.3,409,434,-19,-640,-484
86,"
 Dr. Mundo",1,0,1%,0,1,0%,1.0,-,33:15,1.0,249,206,2,426,-411
87,"
 Udyr",1,0,1%,0,1,0%,1.3,-,39:59,4.3,120,262,-,-,-
88,"
 Varus",1,0,1%,0,1,0%,1.0,-,33:15,8.3,475,357,1,177,-266
89,"
 Vladimir",1,0,1%,1,0,100%,8.0,-,34:11,8.7,389,429,16,814,560
90,"
 Volibear",0,1,1%,,,,,10.0,,,,,,,
91,"
 Xerath",1,0,1%,0,1,0%,3.3,-,33:26,8.1,891,421,-,-,-
92,"
 Zac",0,1,1%,,,,,8.0,,,,,,,
93,"
 Zilean",1,0,1%,0,1,0%,2.6,-,35:11,1.2,106,213,20,-561,-128
94,"
 Kalista",0,1,1%,,,,,10.0,,,,,,,
95,"
 Ekko",0,1,1%,,,,,10.0,,,,,,,
96,"
 Tahm Kench",1,0,1%,0,1,0%,1.0,-,27:03,1.3,100,195,-2,-613,-705
97,"
 Aurelion Sol",0,1,1%,,,,,1.0,,,,,,,
98,"
 Kayn",1,0,1%,1,0,100%,6.0,-,39:37,7.2,382,407,-,-,-
99,"
 Pyke",0,1,1%,,,,,9.0,,,,,,,
100,"
 Qiyana",1,0,1%,0,1,0%,0.6,-,36:40,5.1,227,308,-,-,-
101,"
 Senna",1,0,1%,0,1,0%,1.0,-,30:53,1.7,529,264,-,-,-
102,"
 Lillia",0,1,1%,,,,,4.0,,,,,,,
103,"
 Ahri",0,0,0%,,,,,-,,,,,,,
104,"
 Amumu",0,0,0%,,,,,-,,,,,,,
105,"
 Anivia",0,0,0%,,,,,-,,,,,,,
106,"
 Ashe",0,0,0%,,,,,-,,,,,,,
107,"
 Brand",0,0,0%,,,,,-,,,,,,,
108,"
 Cassiopeia",0,0,0%,,,,,-,,,,,,,
109,"
 Chogath",0,0,0%,,,,,-,,,,,,,
110,"
 Elise",0,0,0%,,,,,-,,,,,,,
111,"
 Evelynn",0,0,0%,,,,,-,,,,,,,
112,"
 Fiddlesticks",0,0,0%,,,,,-,,,,,,,
113,"
 Fizz",0,0,0%,,,,,-,,,,,,,
114,"
 Garen",0,0,0%,,,,,-,,,,,,,
115,"
 Heimerdinger",0,0,0%,,,,,-,,,,,,,
116,"
 Janna",0,0,0%,,,,,-,,,,,,,
117,"
 Karthus",0,0,0%,,,,,-,,,,,,,
118,"
 Kassadin",0,0,0%,,,,,-,,,,,,,
119,"
 Katarina",0,0,0%,,,,,-,,,,,,,
120,"
 Kayle",0,0,0%,,,,,-,,,,,,,
121,"
 KhaZix",0,0,0%,,,,,-,,,,,,,
122,"
 KogMaw",0,0,0%,,,,,-,,,,,,,
123,"
 Master Yi",0,0,0%,,,,,-,,,,,,,
124,"
 Nasus",0,0,0%,,,,,-,,,,,,,
125,"
 Nocturne",0,0,0%,,,,,-,,,,,,,
